Search Query,Clicks,Impressions,CTR,Average Position
herbal medicine list,23,"1,714",1.34%,7.7
history of c section,23,211,10.90%,1
how is synthetic insulin made,23,179,12.85%,2.3
how to cite from pubmed,23,100,23.00%,1
hta,23,"6,708",0.34%,9.7
index medicus journal list 2018,23,38,60.53%,1.3
journals in pubmed,23,33,69.70%,1.7
list of medicinal herbs,23,196,11.73%,5.9
mathieu joseph bonaventure orfila,23,109,21.10%,1.2
medical library online,23,81,28.40%,1.3
medicine wheel colors,23,886,2.60%,4
medline indexing,23,41,56.10%,1
mesh keywords finder,23,54,42.59%,1
micromedex,23,"25,691",0.09%,9.5
misogyny,23,"28,686",0.08%,10
pdf yellow wallpaper,23,32,71.88%,1
penicillin plant,23,282,8.16%,1
pub.med,23,650,3.54%,2.7
publication type,23,198,11.62%,2.8
pubmed articles,23,"2,818",0.82%,4.3
pubmed mobile,23,"1,483",1.55%,3.5
real autopsy,23,386,5.96%,6.2
rflp pdf,23,156,14.74%,9.3
smallpox primary sources,23,52,44.23%,1
structured abstract example,23,189,12.17%,1.2
the yellow wallpaper read,23,45,51.11%,1.6
www.nlm.nih.gov/bsd/uniform_requirements.html,23,28,82.14%,1
a-z genetic terms pdf,22,53,41.51%,2.9
ancient hippocratic oath,22,31,70.97%,1.1
barbara roberts md,22,82,26.83%,4.6
black bile,22,"5,979",0.37%,9.5
code of indian offenses 1883,22,43,51.16%,1.4
dc area medical site,22,69,31.88%,1
difference between medline and pubmed,22,48,45.83%,2.9
greek humors,22,149,14.77%,3
harry potter genetics worksheet,22,57,38.60%,2.2
http://,22,"1,183",1.86%,17
indian mulberry,22,795,2.77%,6.5
journals indexed in medline,22,31,70.97%,1.1
juan vucetich forensic science,22,39,56.41%,1.1
list of journals indexed for medline,22,26,84.62%,1
list of pubmed journals,22,26,84.62%,1.1
majr pubmed,22,38,57.89%,1
medical subject headings (mesh) list of index medicus,22,27,81.48%,1.3
medicinal herbs and their uses,22,748,2.94%,7.1
medicine wheel native american,22,221,9.95%,3.1
mesh list of index medicus,22,29,75.86%,1.1
mold penicillin,22,136,16.18%,1.1
national library of health,22,33,66.67%,1
ndfrt,22,59,37.29%,1
nlm catalog,22,"2,439",0.90%,4.1
penicillin ingredients,22,338,6.51%,5.1
pubmed advanced search tutorial,22,53,41.51%,1.8
pubmed index journal,22,38,57.89%,1.1
pubmed indexed dental journals,22,52,42.31%,2.9
pubmed/medline,22,558,3.94%,2.6
quoted phrase not found pubmed,22,24,91.67%,1
rxcui,22,403,5.46%,2.4
snomed-ct,22,669,3.29%,6.9
the yellow.wallpaper,22,229,9.61%,5.2
traditional native american healing practices,22,149,14.77%,1.8
xuzal,22,329,6.69%,2.1
4 directions,21,"2,190",0.96%,6.3
bertillonage,21,749,2.80%,4.3
blow fly larvae,21,453,4.64%,6.1
c sections in the 1950s,21,120,17.50%,1
charlotte gilman the yellow wallpaper,21,151,13.91%,4
civil war amputation,21,444,4.73%,2.7
data sharing policy,21,265,7.92%,4.2
entry terms pubmed,21,28,75.00%,1.2
genetic pdf,21,192,10.94%,4.5
hippocrates and the four humors,21,88,23.86%,1.6
how is penicillin produced,21,53,39.62%,1
indexcat,21,32,65.62%,3.2
insulin producing bacteria,21,134,15.67%,2
insulin recombinant,21,73,28.77%,1.1
medline databases,21,39,53.85%,1.2
mesh keyword,21,49,42.86%,1.4
mesh terminology,21,69,30.43%,2.5
metamap,21,864,2.43%,2.4
muhammad ibn zakariya al-razi,21,"2,051",1.02%,5.1
nih deadlines r21,21,71,29.58%,1.9
nlm call numbers,21,22,95.45%,1
pubmed about,21,28,75.00%,1.1
pubmed data,21,59,35.59%,1.6
pubmed filters,21,63,33.33%,1.1
pubmed mesh database,21,101,20.79%,2.3
pubmed search builder,21,196,10.71%,2.8
pubmed syntax,21,28,75.00%,1.1
r01 grant deadlines 2019,21,33,63.64%,1.2
ruth l. kirschstein national research service award,21,59,35.59%,2.1
sex comix,21,332,6.33%,19
smallpox pdf,21,52,40.38%,1.5
sterilization of native american women,21,233,9.01%,4.2
the hypocratic oath,21,92,22.83%,2.2
the yello wallpaper,21,102,20.59%,3.9
the yellow wallpaper worksheet pdf,21,66,31.82%,2.5
what are the four humours,21,632,3.32%,4.2
what is rxnorm,21,57,36.84%,1
where is penicillin made,21,261,8.05%,1
basic genetic terms,20,33,60.61%,1.3
biohazard pdf,20,32,62.50%,1
chemidplus,20,"2,659",0.75%,2
citation format for medical journals,20,37,54.05%,1.1
classic hippocratic oath,20,48,41.67%,1.8
clinical queries,20,366,5.46%,3.2
columbus encounter with taino,20,47,42.55%,1.3
download snomed ct,20,25,80.00%,1.2
dr barbara roberts,20,198,10.10%,4.9
first caesarean,20,52,38.46%,1
gilman yellow wallpaper,20,205,9.76%,4.2
healing herbs list,20,424,4.72%,4.9
history of anatomy timeline,20,153,13.07%,3.7
how to cite on pubmed,20,41,48.78%,1
how to use mesh terms,20,70,28.57%,3.9
indexed for medline,20,32,62.50%,1
insulin production biotechnology,20,76,26.32%,3.7
keywords mesh,20,31,64.52%,1.3
keywords pubmed,20,46,43.48%,1.7
medical subject headings del index medicus,20,31,64.52%,1.5
medical subject headings list,20,25,80.00%,1.3
medical subject headings list of index medicus,20,27,74.07%,1
medicine wheel healing,20,231,8.66%,6.6
medline databank,20,36,55.56%,1
medline journal abbreviations,20,145,13.79%,2
mesh hierarchy,20,32,62.50%,1
nddf,20,219,9.13%,1.6
nlm abbreviations,20,435,4.60%,2.5
nlm.nih.gov pubmed,20,326,6.13%,3.3
pap med,20,363,5.51%,2.1
pubmed guidelines,20,42,47.62%,1.3
pubmed limits,20,31,64.52%,1.1
pubmed training,20,30,66.67%,1.1
pubmed tutorial video,20,26,76.92%,1.3
rxnorm tty,20,23,86.96%,1
search pubmed,20,143,13.99%,3.3
snomed ct us edition,20,23,86.96%,1
snomedct,20,219,9.13%,5.8
the 4 humors,20,"1,095",1.83%,4.7
"the papal ""bull"" or decree issued by pope alexander vi in 1493 had what purpose?",20,105,19.05%,1.1
the yellow wallpaper pdf with line numbers,20,27,74.07%,1.1
the yellow wallpaperpdf,20,26,76.92%,1
the yellow.wallpaper pdf,20,24,83.33%,1
visible proofs forensic views of the body by the national library of medicine,20,22,90.91%,1
artificial insulin production,19,77,24.68%,2.8
bertillon,19,"1,172",1.62%,6.3
columbus and taino,19,113,16.81%,4.5
cui umls,19,29,65.52%,1.3
de humani corporis fabrica libri septem,19,478,3.97%,5
economic analysis methods,19,226,8.41%,5.8
four humors theory,19,146,13.01%,2.6
genetics biology pdf,19,104,18.27%,5.3
hippocrates humoral theory,19,135,14.07%,3.6
how is artificial insulin made,19,82,23.17%,1.1
how to save a search on pubmed,19,21,90.48%,1
humoral theory,19,"2,062",0.92%,7.5
jacopo berengario da carpi,19,242,7.85%,1.8
list of journals in pubmed,19,23,82.61%,1
list of journals indexed in pubmed,19,23,82.61%,1
lister hill auditorium,19,55,34.55%,2.3
marsh test,19,897,2.12%,6.9
mendelian trait definition,19,187,10.16%,1.6
mesh index,19,73,26.03%,1.4
national library of medicine citation style,19,42,45.24%,1.6
native american healing ceremony,19,82,23.17%,1
native medicine,19,303,6.27%,2
nih manuscript submission,19,92,20.65%,2
nih score range,19,97,19.59%,1.1
nlm citation,19,733,2.59%,5.3
nlm graphic medicine,19,20,95.00%,1
other works of art,19,72,26.39%,5.1
pubmed journals medical,19,104,18.27%,2.9
pubmed search tutorial,19,36,52.78%,1.7
r21 grant deadlines,19,56,33.93%,1.9
recombinant dna technology insulin,19,42,45.24%,1.3
searching pubmed,19,34,55.88%,2.2
short story the yellow wallpaper,19,67,28.36%,4.6
snowmed,19,723,2.63%,6
the ywllow wallpaper,19,83,22.89%,4
www.ncbi.nlm.nih.gov pubmed,19,"1,182",1.61%,5
yellow wallpaper book,19,603,3.15%,6.7
пабмед,19,"1,744",1.09%,2.1
chiron and achilles,18,489,3.68%,3.4
first successful c section,18,62,29.03%,1.1
forensic entomology worksheet,18,144,12.50%,5.8
four directions,18,"3,733",0.48%,8
history of medicine in the united states,18,79,22.78%,2.7
how to cite pubmed articles,18,47,38.30%,1
how to save search in pubmed,18,25,72.00%,1
http://www.nlm.nih.gov,18,26,69.23%,1
https://www.nlm.nih.gov/,18,26,69.23%,1
https://www.nlm.nih.gov/bsd/uniform_requirements.html,18,21,85.71%,1
human mendelian traits worksheet answers,18,44,40.91%,2.2
insulin production process,18,228,7.89%,4.5
making insulin,18,269,6.69%,2.5
medicine wheels,18,382,4.71%,4.4
medline elements,18,19,94.74%,1
medline journal list,18,20,90.00%,1
medlne,18,234,7.69%,4.1
mendelian trait,18,960,1.88%,6.4
mesh thesaurus,18,295,6.10%,4.4
native american sterilization,18,152,11.84%,4.3
nih data sharing repositories,18,21,85.71%,1
nih r01 deadline 2019,18,88,20.45%,2.3
nih r01 deadlines,18,735,2.45%,4
nih repository,18,39,46.15%,1
nlm subject headings,18,19,94.74%,1
papal bull inter caetera,18,265,6.79%,5.3
patti brennan,18,142,12.68%,2.9
preparation of penicillin,18,31,58.06%,1.2
publication types,18,248,7.26%,3.6
pubmed bulk download,18,23,78.26%,1
pubmed filter,18,23,78.26%,1
pubmed linkout,18,64,28.12%,2.1
pubmed quoted phrase not found,18,20,90.00%,1
pubmed veterinary,18,41,43.90%,1.5
pup med,18,"1,057",1.70%,3.3
robert hooke book,18,220,8.18%,1.7
the requirement,18,829,2.17%,3.7
the us national library of medicine,18,24,75.00%,1
the yellow wallpaper online pdf,18,20,90.00%,1
umls vocabularies,18,22,81.82%,1.1
virtual human project,18,94,19.15%,2.4
visible proofs forensic views of the body learning from bones,18,19,94.74%,1
what is pub med,18,192,9.38%,2.5
ahmad ibn tulun hospital,17,64,26.56%,1.8
ancient greek medicine timeline,17,44,38.64%,2.1
bodily humours,17,81,20.99%,1
boolean pubmed,17,21,80.95%,1
category of publication,17,39,43.59%,1.7
columbus and the taino,17,139,12.23%,5.6
difference between pubmed and medline,17,98,17.35%,3
dream anatomy,17,39,43.59%,1.3
examples of health indicators,17,120,14.17%,4.1
genetic concepts,17,107,15.89%,3.3
genetics activity,17,85,20.00%,5.3
genetics worksheet pdf,17,139,12.23%,3
gmo insulin,17,148,11.49%,5.9
grants peace policy,17,62,27.42%,1
guava leaves scientific name,17,358,4.75%,3.5
herb dictionary,17,196,8.67%,6.1
hippocrates four humours,17,258,6.59%,3.6
history of genetics ppt,17,215,7.91%,6.8
how to get citation from pubmed,17,144,11.81%,2.2
how to search in pubmed using keywords,17,58,29.31%,4.6
indian termination policy,17,327,5.20%,6.1
indicators of community health,17,93,18.28%,2
international committee of medical journal editors reference style,17,26,65.38%,1.6
is penicillin mold,17,445,3.82%,1
johnson v. mcintosh,17,295,5.76%,6.1
k99/r00 deadline,17,29,58.62%,1.1
location id pubmed,17,20,85.00%,1.3
medline library database,17,19,89.47%,1
medline reference,17,22,77.27%,1
mesh (medical subject headings),17,27,62.96%,1.1
mesh descriptor,17,24,70.83%,1.3
mesh on demand,17,"1,167",1.46%,1.1
mesh terms meaning,17,158,10.76%,2.9
mould penicillin,17,127,13.39%,1.4
national libraries of medicine,17,19,89.47%,1
native american healing herbs,17,153,11.11%,3
navajo code talkers timeline,17,43,39.53%,1.3
nih biosketch scholastic performance,17,28,60.71%,1.1
nih data sharing policy 2018,17,27,62.96%,1.2
nih dataset,17,47,36.17%,2.9
nih.nlm,17,24,70.83%,1
orfila forensic science,17,230,7.39%,1.4
orthopoxvirus,17,"1,928",0.88%,6
pub med.com,17,340,5.00%,2.9
pubmed fields,17,31,54.84%,1.7
pubmed how to search,17,40,42.50%,2.6
pubmed indexed pathology journals,17,20,85.00%,2
pubmed mesh tutorial,17,33,51.52%,2.8
pubmed subscription cost,17,28,60.71%,2.5
pubmed vs pubmed central,17,163,10.43%,3.6
pubmed.org,17,"2,095",0.81%,3.9
save search pubmed,17,28,60.71%,1.1
snomed codes lookup,17,96,17.71%,3.1
snomed ct indication disease term,17,159,10.69%,5
text word pubmed,17,20,85.00%,1
the four humors theory,17,71,23.94%,2.6
the yellow wallpape,17,131,12.98%,4.2
the yellow wallpaper by gilman,17,42,40.48%,3.5
umdns,17,406,4.19%,8.4
umls concepts,17,24,70.83%,1
umls.icu,17,612,2.78%,6.5
4 humors medicine,16,90,17.78%,2.6
a yellow wallpaper,16,159,10.06%,4.3
basics of genetics pdf,16,45,35.56%,2.4
c sections in the 1920s,16,41,39.02%,1.1
cesarean history,16,113,14.16%,1
"charlotte perkins gilman, the yellow wallpaper",16,39,41.03%,3
clasificacion nlm,16,29,55.17%,1.1
clinical trials ppt,16,98,16.33%,9
columbus taino,16,160,10.00%,4.8
database medline,16,25,64.00%,1
difference between pubmed and pubmed central,16,127,12.60%,3.6
four bodily humours,16,55,29.09%,1.1
https://www.ncbi.nlm.nih.gov,16,525,3.05%,2.9
hyppocratic oath,16,255,6.27%,4
icd 10 to snomed,16,32,50.00%,1.4
indian civil rights act of 1968,16,437,3.66%,6.1
indicators of health,16,"1,961",0.82%,10
insulin from bacteria,16,39,41.03%,1.3
insulin production by recombinant dna technology,16,31,51.61%,1.9
inter caetera summary,16,27,59.26%,1
is penicillin made from mold,16,288,5.56%,1.1
islamic hospital,16,338,4.73%,6
life cycle of a blowfly,16,421,3.80%,2.4
list of journals indexed in index medicus 2018,16,27,59.26%,1.3
list of journals indexed in index medicus 2019,16,40,40.00%,2.2
list of snomed codes,16,33,48.48%,2.7
mathieu orfila forensics,16,106,15.09%,1.3
medical reference,16,317,5.05%,3.2
medline databas,16,27,59.26%,1
mesh entry terms,16,29,55.17%,1
mesh keyword finder,16,28,57.14%,1
mesh medline,16,71,22.54%,2.2
mesh search,16,497,3.22%,3.5
native american colors of the 4 directions,16,49,32.65%,1
ncbi pubmed,16,"29,913",0.05%,6.1
nih data sharing,16,82,19.51%,2.8
nih grant cycle,16,94,17.02%,2.1
nlm training,16,24,66.67%,1
penicillin how to make,16,51,31.37%,1.3
penicillin microorganism,16,117,13.68%,1.5
penicillin production process,16,80,20.00%,2.3
perkins gilman the yellow wallpaper,16,50,32.00%,3.4
public services before world war 2,16,39,41.03%,2.2
pubmed central vs pubmed,16,182,8.79%,3.5
pubmed dtd,16,19,84.21%,1
pubmed health encyclopedia,16,196,8.16%,3.1
pubmed identifier,16,54,29.63%,2.5
pubmed text word,16,17,94.12%,1
rdna insulin,16,68,23.53%,1
snomed dictionary,16,28,57.14%,3.9
sources of health statistics,16,86,18.60%,1.1
terms in genetics,16,67,23.88%,3.7
the yellow wallpaper and other stories pdf,16,38,42.11%,3.5
the yellow wallpaper online,16,40,40.00%,2
the yellow wallpaper pdf download,16,25,64.00%,1
universal medical device nomenclature system,16,44,36.36%,2.6
visible human project 3d model,16,40,40.00%,1
waianae diet,16,37,43.24%,1
4 humors hippocrates,15,58,25.86%,1.8
ana maria lopez,15,221,6.79%,4.6
basic genetic concepts,15,24,62.50%,1.1
battered woman syndrome pdf,15,22,68.18%,2.1
civil war amputations,15,118,12.71%,2.3
classification nlm,15,25,60.00%,2
diseases database,15,71,21.13%,3
dr. barbara roberts,15,64,23.44%,3.5
elizabeth fee,15,85,17.65%,1.6
entomology worksheet,15,28,53.57%,1
equal contribution,15,340,4.41%,3.9
expected pharmacological action,15,437,3.43%,1.3
first c-section,15,40,37.50%,1
